"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/","1","FamilyVest at Farther provides fee-only comprehensive wealth management and financial planning for families, business owners, and professionals navigating financial complexity. CFA + CFP fiduciary, Destin FL and nationwide.","223","1401","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/privacy","1","FamilyVest privacy policy and data handling practices.","54","336","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/about","1","Meet Todd Sensing, CFA, CFP and the FamilyVest team. 25+ years of fee-only financial planning and investment management from Florida's Emerald Coast, serving clients nationwide.","177","1125","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/blog","1","Financial planning insights, retirement strategies, special needs planning guidance, and investment perspectives from FamilyVest at Farther. Destin, Florida.","157","958","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/planning-special-needs","1","Special needs financial planning from an advisor with two sons on the spectrum. Benefit preservation, special needs trusts, ABLE accounts, estate coordination, and lifetime funding strategies. FamilyVest at Farther.","215","1320","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/planning-business-exits","1","Business exit and succession planning from a Certified Exit Planning Advisor (CEPA) with CFA valuation expertise. Sell, transfer, or transition your business with a plan that protects your family, your legacy, and your next chapter. FamilyVest at Farther.","255","1543","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/planning","1","Comprehensive financial planning that coordinates retirement, tax, estate, insurance, and investment strategy under one plan. FamilyVest at Farther, CFA + CFP fiduciary. Destin FL and nationwide.","195","1210","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/disclosures","1","Important investment advisory disclosures for FamilyVest.","57","361","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/planning-retirement","1","Retirement planning that coordinates Social Security timing, Roth conversions, tax bracket management, withdrawal sequencing, and Medicare planning into one integrated strategy. FamilyVest at Farther.","200","1259","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/terms","1","Terms of use for FamilyVest website visitors.","45","276","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/contact","1","Contact FamilyVest for comprehensive financial planning and wealth management. 4300 Legendary Drive, Suite 226, Destin, FL 32541. Call 844-628-3185.","148","952","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/investment-management","1","Institutional-quality investment management from a CFA charterholder who managed a hedge fund through 2016 and chose Destin over Wall Street. Goals-first portfolios, tax-efficient strategies, and fiduciary discipline. FamilyVest at Farther.","240","1483","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/adv","1","Request FamilyVest ADV Part 2 and regulatory disclosure documents.","66","431","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/get-started","1","Start a conversation with FamilyVest at Farther — fee-only fiduciary wealth management, Destin FL and nationwide.","113","714","Non-Indexable","Canonicalised,noindex"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/autism-resource-navigator","1","Find autism therapy providers, disability services, Medicaid waivers, early intervention, and government programs across all 50 US states. Free directory with 768+ resources plus state-specific benefits, filterable by age, state, insurance, and telehealth.","256","1536","Non-Indexable","Canonicalised,noindex"
